,server_ip,server_country,last_responding_ip,last_responding_country,reference_ip,reference_country,cdn,distance
0,95.216.247.80,UA,213.239.224.146,DE,95.216.225.17,UA,False,1
3,192.0.66.88,US,27.111.228.209,SG,192.0.66.184,US,False,1
16,139.45.195.41,US,89.19.36.65,ERR,139.45.196.77,US,False,1
49,91.236.51.153,RU,178.21.16.14,NL,91.236.51.136,RU,False,1
50,101.53.142.34,AU,180.179.194.124,IN,101.53.136.146,AU,False,1
52,5.8.34.183,RU,149.14.96.146,US,5.8.34.183,RU,False,1
55,94.130.219.154,UA,213.239.229.130,DE,94.130.131.103,UA,False,1
62,192.0.66.32,US,27.111.228.209,SG,192.0.66.184,US,False,1
68,139.45.196.73,US,89.19.36.65,ERR,139.45.196.77,US,False,1
78,47.89.94.5,CA,11.170.174.145,US,47.89.94.5,CA,False,1
88,47.254.56.35,CA,11.48.160.1,US,47.254.56.35,CA,False,1
102,185.165.123.185,ERR,62.115.162.243,ERR,185.165.123.185,ERR,False,1
103,173.192.193.226,US,208.43.118.213,US,173.192.193.226,US,False,1
108,45.33.22.186,US,45.79.12.5,ERR,45.33.118.120,US,False,1
117,192.0.66.24,US,27.111.228.209,SG,192.0.66.184,US,False,1
126,192.0.66.184,US,27.111.228.209,SG,192.0.66.184,US,False,1
133,137.254.60.32,US,137.254.7.84,US,137.254.60.32,US,False,1
135,88.99.70.210,GB,213.239.245.230,DE,88.99.151.104,GB,False,1
138,72.142.24.195,CA,72.142.23.250,CA,72.142.24.195,CA,False,1
147,207.135.71.184,US,207.135.66.1,US,207.135.71.188,US,False,1
149,199.58.87.30,US,173.208.126.29,US,199.58.87.30,US,False,1
151,146.20.176.192,US,72.4.122.225,US,146.20.176.192,US,False,1
157,103.102.166.224,ERR,27.111.228.186,SG,103.102.166.224,ERR,False,1
181,130.117.76.11,ERR,154.25.9.254,US,130.117.76.11,ERR,False,1
193,205.206.163.40,CA,216.123.228.244,CA,205.206.163.40,CA,False,1
221,209.58.185.195,US,43.249.36.15,SG,209.58.188.166,US,False,1
224,137.254.60.6,US,137.254.7.84,US,137.254.60.32,US,False,1
227,199.58.87.10,US,173.208.126.33,US,199.58.87.30,US,False,1
230,135.84.52.6,US,213.19.203.246,GB,135.84.52.6,US,False,1
236,216.52.119.101,US,69.25.47.155,US,216.52.119.101,US,False,1
282,192.138.218.95,US,192.138.218.10,US,192.138.218.95,US,False,1
293,103.23.108.107,TW,60.199.236.146,TW,103.23.108.107,TW,False,1
296,80.231.178.248,GB,80.231.138.13,ERR,80.231.178.248,GB,False,1
299,185.113.25.55,ERR,185.113.24.51,ERR,185.113.25.56,ERR,False,1
303,81.171.10.216,NL,81.17.33.141,NL,81.171.10.215,NL,False,1
316,185.113.25.50,ERR,185.113.24.51,ERR,185.113.25.56,ERR,False,1
318,74.208.255.134,DE,80.239.161.89,ERR,74.208.120.41,US,False,4
337,139.45.197.188,US,89.19.36.65,ERR,139.45.196.77,US,False,1
353,93.123.73.162,BG,212.3.236.230,GB,93.123.73.226,BG,False,2
354,107.167.83.34,US,148.163.87.58,US,107.167.83.34,US,False,1
358,159.69.73.210,US,213.239.245.82,DE,159.69.73.210,US,False,1
362,47.88.66.192,CA,11.48.184.1,US,47.88.107.144,CA,False,1
389,209.15.209.74,CA,216.187.113.178,US,209.15.13.136,US,False,3
393,103.129.28.29,ERR,133.208.55.134,JP,103.129.28.29,ERR,False,1
402,198.41.30.198,CA,198.41.29.52,CA,198.41.30.198,CA,False,1
403,204.115.119.81,US,160.72.71.246,CA,204.115.119.81,US,False,1
413,185.165.123.35,ERR,62.115.162.243,ERR,185.165.123.185,ERR,False,1
419,199.101.132.243,US,62.115.62.166,ERR,199.101.132.243,US,False,1
430,88.99.95.180,GB,213.239.245.234,DE,88.99.151.104,GB,False,1
451,140.177.205.134,US,140.177.203.2,US,140.177.205.52,US,False,1
459,74.117.206.70,US,160.34.14.160,US,74.117.206.70,US,False,0
475,89.30.109.238,ERR,89.30.2.53,FR,89.30.109.239,ERR,False,1
480,88.198.11.78,DE,213.239.224.6,DE,88.198.17.214,DE,False,1
486,161.47.36.129,US,184.106.126.99,US,161.47.36.129,US,False,1
499,185.165.123.49,ERR,62.115.162.243,ERR,185.165.123.185,ERR,False,1
513,80.252.0.145,PL,194.149.228.134,PL,80.252.0.131,PL,False,1
514,45.79.150.110,ERR,173.255.239.5,US,45.79.182.34,ERR,False,1
518,5.9.157.21,DE,213.239.229.54,DE,5.9.156.199,DE,False,1
524,140.177.204.192,US,140.177.203.2,US,140.177.205.52,US,False,1
542,81.17.17.254,CH,46.19.136.237,CH,81.17.17.254,CH,False,1
557,5.45.79.103,NL,5.178.67.25,NL,5.45.79.103,NL,False,1
563,23.105.245.4,US,188.42.176.231,LU,23.105.245.5,US,False,1
564,192.169.82.74,US,64.31.3.42,US,192.169.82.74,US,False,1
565,204.62.12.123,US,4.15.150.126,US,204.62.12.123,US,False,1
586,178.248.234.66,RU,213.242.127.194,GB,178.248.233.61,RU,False,1
593,188.42.139.84,LU,185.82.208.109,NL,188.42.139.84,LU,False,1
639,139.45.195.28,US,89.19.36.65,ERR,139.45.196.77,US,False,1
649,103.24.121.21,AU,65.19.155.134,US,103.24.121.21,AU,False,1
678,208.91.196.46,VG,64.125.192.114,US,208.91.196.46,VG,False,1
688,113.31.88.230,CN,113.31.87.176,CN,113.31.88.229,CN,False,1
695,204.115.119.55,US,160.72.71.246,CA,204.115.119.81,US,False,1
696,103.224.182.238,AU,103.224.213.253,AU,103.224.182.21,AU,False,1
705,169.44.165.66,CH,169.45.118.155,NL,169.44.165.66,CH,False,1
710,200.136.72.23,BR,200.136.37.35,BR,200.136.72.23,BR,False,1
718,88.99.151.104,GB,213.239.245.230,DE,88.99.151.104,GB,False,1
719,114.179.184.93,JP,61.113.104.254,JP,114.179.184.93,JP,False,1
721,207.54.136.33,US,216.183.173.42,US,207.54.136.33,US,False,1
736,176.9.144.249,DE,213.239.229.238,DE,176.9.144.249,DE,False,1
740,178.248.233.32,RU,213.242.127.194,GB,178.248.233.61,RU,False,1
755,178.248.237.68,RU,213.242.127.194,GB,178.248.233.61,RU,False,1
756,137.99.26.48,US,137.99.255.147,US,137.99.26.48,US,False,1
760,186.2.163.90,BZ,62.115.137.65,ERR,186.2.163.228,BZ,False,1
761,185.233.185.53,ERR,77.120.1.174,UA,185.233.186.104,ERR,False,1
772,210.140.92.141,JP,158.205.95.54,JP,210.140.92.142,JP,False,1
783,107.150.101.156,US,104.254.115.233,US,107.150.101.156,US,False,1
784,77.88.55.55,RU,80.81.192.251,DE,77.88.55.77,RU,False,1
786,159.65.89.65,US,138.197.251.143,US,159.65.89.65,US,False,1
788,149.56.126.48,US,198.27.73.204,CA,149.56.164.249,US,False,2
811,40.74.245.188,US,104.44.23.86,US,40.74.245.188,US,False,1
817,129.170.171.44,US,129.170.1.66,US,129.170.172.43,US,False,1
821,79.127.127.29,IR,185.233.140.109,ERR,79.127.127.25,IR,False,1
866,51.81.57.189,GB,178.32.135.211,FR,51.81.57.189,GB,False,1
869,52.165.135.234,US,104.44.22.182,US,52.165.135.234,US,False,1
871,45.79.137.62,ERR,173.205.38.198,US,45.79.182.34,ERR,False,2
881,192.243.59.12,US,63.218.219.46,US,192.243.59.13,US,False,1
884,142.93.213.69,CA,138.197.249.23,US,142.93.213.69,CA,False,1
895,5.196.55.229,FR,178.33.100.158,FR,5.196.140.102,FR,False,2
926,203.104.153.16,JP,27.111.228.165,SG,203.104.138.138,JP,False,5
946,170.66.11.10,BR,100.126.4.133,ERR,170.66.11.10,BR,False,4
960,185.233.185.55,ERR,77.120.1.174,UA,185.233.186.104,ERR,False,1
961,186.2.163.228,BZ,62.115.137.65,ERR,186.2.163.228,BZ,False,1
968,117.122.224.176,CN,117.122.211.150,CN,117.122.224.176,CN,False,1
975,45.141.156.118,ERR,77.120.1.166,UA,45.141.156.118,ERR,False,1
995,81.27.240.126,RU,87.240.191.212,RU,81.27.240.126,RU,False,1
996,122.226.73.53,CN,220.188.121.78,CN,122.226.73.53,CN,False,1
999,203.104.138.138,JP,27.111.228.165,SG,203.104.138.138,JP,False,1
1010,192.243.59.20,US,63.218.219.46,US,192.243.59.13,US,False,1
1020,104.248.48.89,US,62.115.139.151,ERR,104.248.111.147,US,False,1
1030,149.202.167.2,DE,92.222.61.85,FR,149.202.167.2,DE,False,1
1049,216.92.14.11,US,4.7.80.10,US,216.92.246.13,US,False,1
1066,142.44.215.113,CA,198.27.73.204,CA,142.44.136.29,CA,False,1
1081,176.31.240.91,FR,178.33.100.158,FR,176.31.122.186,FR,False,1
1128,157.230.1.149,US,62.115.139.151,ERR,157.230.200.20,US,False,1
1152,172.93.108.170,ERR,38.122.245.186,US,172.93.108.170,ERR,False,1
1173,192.243.59.13,US,63.218.219.46,US,192.243.59.13,US,False,1
1184,185.120.221.247,ERR,85.132.90.162,AZ,185.120.221.247,ERR,False,1
1199,139.45.196.76,US,87.245.234.113,GB,139.45.196.77,US,False,2
1219,132.216.177.160,CA,206.167.128.42,CA,132.216.177.160,CA,False,1
1227,139.59.65.231,AU,202.56.198.30,IN,139.59.59.218,AU,False,2
1233,77.88.55.77,RU,80.81.192.251,DE,77.88.55.77,RU,False,1
1248,186.2.163.219,BZ,62.115.137.65,ERR,186.2.163.228,BZ,False,1
1250,178.248.233.147,RU,213.242.127.194,GB,178.248.233.61,RU,False,1
1260,59.110.149.245,CN,116.251.94.18,CN,59.110.149.245,CN,False,2
1277,40.81.94.43,US,104.44.11.4,US,40.81.81.70,US,False,1
1320,52.165.129.203,US,104.44.22.192,US,52.165.135.234,US,False,1
1328,79.127.127.68,IR,185.233.140.101,ERR,79.127.127.25,IR,False,1
1337,188.165.203.55,FR,94.23.122.240,FR,188.165.15.144,FR,False,1
1349,188.240.220.201,RO,62.115.59.226,ERR,188.240.220.201,RO,False,1
