,domains,dest_ip,dest_location,cdn
59,khanacademy.org,13.224.66.85,N/A,True
140,duolingo.com,184.72.124.184,N/A,False
159,invisionapp.com,52.1.116.44,N/A,False
174,9news.com.au,3.24.12.218,N/A,True
179,tradingview.com,35.164.72.124,N/A,True
199,lnk.to,52.193.44.118,N/A,False
207,uts.edu.au,54.79.20.73,N/A,False
209,state.gov,34.233.79.178,N/A,True
226,fotor.com,139.129.161.167,N/A,True
227,nationalpost.com,15.223.13.97,N/A,True
228,strava.com,34.224.131.4,N/A,False
231,pluralsight.com,52.43.46.114,N/A,True
253,webofknowledge.com,35.155.145.37,N/A,True
254,floryday.com,35.172.19.187,N/A,False
257,goal.com,185.42.238.89,N/A,True
258,uiowa.edu,54.163.225.50,N/A,False
267,pdfescape.com,13.224.66.50,N/A,False
285,scipy.org,50.17.248.72,N/A,False
300,webflow.com,52.206.240.140,N/A,False
336,shutterfly.com,136.179.236.70,N/A,False
351,mint.com,54.167.254.45,N/A,True
377,caixa.gov.br,200.201.166.253,N/A,False
389,archdaily.com,13.224.66.40,N/A,False
422,oberlo.com,104.198.14.52,N/A,False
451,milliyet.com.tr,34.249.120.252,N/A,False
456,ctrip.com,114.80.56.3,N/A,True
461,soft32.com,13.224.66.13,N/A,True
519,fitbit.com,13.224.66.44,N/A,True
523,yle.fi,13.224.66.77,N/A,False
537,lovetoknow.com,54.172.229.17,N/A,True
569,kingsoft.jp,52.196.98.180,N/A,False
579,beatport.com,208.92.202.129,N/A,False
595,ui.com,52.43.66.31,N/A,False
604,usgs.gov,137.227.233.178,N/A,True
606,beforward.jp,54.250.185.186,N/A,False
643,cc.com,54.68.182.72,N/A,True
648,babycenter.com,54.71.86.242,N/A,True
702,airbnb.fr,34.198.62.11,N/A,True
721,swagbucks.com,34.217.168.104,N/A,False
723,bandicam.com,54.95.29.185,N/A,True
750,manchestereveningnews.co.uk,52.30.77.50,N/A,False
767,trulia.com,13.224.66.96,N/A,True
779,health.com,13.224.66.59,N/A,False
789,pcmag.com,52.201.108.115,N/A,False
808,bbcgoodfood.com,52.210.70.81,N/A,True
825,zapier.com,34.236.175.46,N/A,False
842,arstechnica.com,3.128.236.93,N/A,False
858,makeuseof.com,52.1.163.27,N/A,False
860,thetimes.co.uk,54.76.240.177,N/A,True
867,seek.com.au,52.64.134.99,N/A,False
868,ratemyprofessors.com,18.204.93.152,N/A,False
890,bodybuilding.com,35.163.243.246,N/A,True
894,aminoapps.com,54.189.212.81,N/A,False
898,ualberta.ca,52.32.177.72,N/A,False
904,vsco.co,35.163.139.45,N/A,False
936,searchencrypt.com,54.84.254.37,N/A,False
1035,dailykos.com,44.225.176.177,N/A,False
1066,hatena.ne.jp,54.178.203.141,N/A,False
1073,aljazeera.com,52.15.236.243,N/A,True
1078,wordstream.com,54.236.99.134,N/A,False
1080,stripe.com,54.186.23.98,N/A,False
1081,latimes.com,34.216.117.150,N/A,True
1087,edmodo.com,34.210.185.239,N/A,False
1099,bfmtv.com,54.77.61.162,N/A,True
1103,capterra.com,54.156.208.110,N/A,False
1134,nbcnews.com,52.10.191.40,N/A,True
1138,grammarly.com,52.70.5.31,N/A,False
1140,blogmura.com,18.177.229.203,N/A,False
1149,amazon.co.uk,54.239.33.58,N/A,True
1159,macmillandictionary.com,54.77.8.77,N/A,False
1173,bt.co,99.86.121.97,N/A,False
1178,travelandleisure.com,13.224.66.32,N/A,True
1191,amazon.es,54.239.33.90,N/A,True
1208,education.com,35.172.1.76,N/A,True
1209,brightspace.com,54.68.15.231,N/A,False
1254,corel.com,54.209.98.226,N/A,True
1261,hatenablog.jp,52.69.186.243,N/A,False
1267,theglobeandmail.com,199.198.138.250,N/A,True
1280,visitkorea.or.kr,175.122.1.106,N/A,False
1303,indiabix.com,35.244.11.196,N/A,False
1311,zaful.com,54.203.28.3,N/A,True
1319,sporcle.com,52.7.169.38,N/A,False
1321,wps.com,52.88.219.68,N/A,False
1322,zappos.com,35.163.241.93,N/A,True
1328,vcommission.com,3.18.171.66,N/A,False
1340,clicktripz.com,52.218.180.202,N/A,False
1345,ted.com,52.86.66.173,N/A,True
1346,nexon.com,52.78.145.30,N/A,False
1352,linktr.ee,54.186.160.224,N/A,False
1361,datacamp.com,54.161.154.45,N/A,False
1367,amazon.de,52.95.120.34,N/A,True
1372,netacad.com,54.191.191.127,N/A,True
