,domains,dest_ip,dest_location,cdn,n-1_ip,n-1_location,n-1_distance
738,squarespace.com,198.49.23.177,US,False,72.52.43.164,US,NOT_FOUND
1057,bitly.com,67.199.248.14,US,False,172.253.51.131,US,NOT_FOUND
799,toggl.com,35.244.178.179,US,False,216.239.51.115,US,NOT_FOUND
790,cbs.com,35.227.235.238,US,False,172.253.51.131,US,NOT_FOUND
772,rappler.com,35.190.2.113,US,False,216.239.51.115,US,NOT_FOUND
742,vidio.com,35.190.27.84,US,False,172.253.51.135,US,NOT_FOUND
1063,verizon.com,192.16.31.89,US,False,152.195.68.145,US,NOT_FOUND
1307,debian.org,149.20.4.15,US,False,72.52.94.70,US,NOT_FOUND
689,admitad.com,212.224.113.222,DE,False,212.224.104.5,DE,NOT_FOUND
665,siteadvisor.com,161.69.17.94,US,False,161.69.23.234,US,NOT_FOUND
1143,vanderbilt.edu,75.2.77.85,US,False,52.93.69.120,US,NOT_FOUND
493,root.com,91.189.88.181,GB,False,212.113.8.154,GB,NOT_FOUND
383,jamanetwork.com,173.254.190.147,US,False,74.221.233.156,US,NOT_FOUND
1189,kaggle.com,35.244.233.98,US,False,172.253.51.133,US,NOT_FOUND
361,material.io,216.239.32.21,US,False,108.170.227.189,US,NOT_FOUND
37,futurism.com,76.76.21.21,US,False,52.93.69.24,US,NOT_FOUND
1291,breitbart.com,35.241.35.213,US,False,216.239.51.123,US,NOT_FOUND
80,cyberlink.com,99.83.161.79,US,False,52.93.69.136,US,NOT_FOUND
1241,theepochtimes.com,34.107.251.210,US,False,108.170.233.243,US,NOT_FOUND
114,jotform.com,35.201.118.58,US,False,216.239.51.115,US,NOT_FOUND
382,softonic.com.br,35.227.233.104,US,False,216.239.51.113,US,NOT_FOUND
195,unimelb.edu.au,43.245.43.59,AU,False,202.68.67.134,AU,NOT_FOUND
1220,justwatch.com,35.186.248.180,US,False,216.239.51.113,US,NOT_FOUND
331,dropbox.com,162.125.248.1,US,False,162.125.86.141,US,NOT_FOUND
360,printfriendly.com,35.227.216.47,US,False,172.253.51.133,US,NOT_FOUND
296,evernote.com,35.190.29.187,US,False,172.253.51.131,US,NOT_FOUND
958,livescore.com,35.186.243.87,US,False,172.253.51.133,US,NOT_FOUND
1156,mathworks.com,144.212.244.17,US,True,209.6.175.102,US,NOT_FOUND
1268,td.com,192.229.162.193,US,True,152.195.232.129,US,NOT_FOUND
1186,porsche.com,84.21.52.116,DE,True,84.21.62.17,DE,NOT_FOUND
1038,twoplayergames.org,151.139.128.11,US,True,151.139.84.14,US,NOT_FOUND
26,sec.gov,23.34.190.140,NL,True,80.249.209.208,NL,NOT_FOUND
846,alaraby.co.uk,152.195.39.175,US,True,152.195.144.196,US,NOT_FOUND
805,sbs.com.au,75.2.56.250,US,True,52.93.69.136,US,NOT_FOUND
739,rivals.com,152.199.16.86,US,True,152.195.144.196,US,NOT_FOUND
646,payoneer.com,192.229.162.98,US,True,152.195.232.129,US,NOT_FOUND
607,biomedcentral.com,195.128.8.101,NL,True,192.87.158.242,NL,NOT_FOUND
489,fontawesome.com,151.139.128.8,US,True,151.139.84.8,US,NOT_FOUND
460,techcrunch.com,152.195.50.33,US,True,152.195.232.129,US,NOT_FOUND
314,zalando.it,130.211.9.113,US,True,216.239.51.123,US,NOT_FOUND
98,samsclub.com,161.170.244.214,US,True,12.88.230.90,US,NOT_FOUND
94,tripadvisor.co.uk,192.229.162.112,US,True,152.195.233.129,US,NOT_FOUND
46,nhl.com,8.20.73.150,US,True,4.59.141.110,US,NOT_FOUND
864,quikr.com,23.42.67.70,US,True,23.56.141.131,US,NOT_FOUND
1333,business.site,216.239.32.29,US,True,172.253.51.135,US,NOT_FOUND
